sim_time,supervisor_event,Plant.Temperature,Plant.Temperature_heater,Controller.heater_ctrl,Supervisor.temperature_desired,Supervisor.heating_time
2313.0,False,31.717172622680664,33.93552780151367,False,34.995731353759766,20.088092803955078
2313.5,False,31.712549209594727,33.929893493652344,False,34.995731353759766,20.088092803955078
2314.0,False,31.707929611206055,33.92426681518555,False,34.995731353759766,20.088092803955078
2314.5,False,31.703311920166016,33.91864013671875,False,34.995731353759766,20.088092803955078
2315.0,False,31.698694229125977,33.91301345825195,False,34.995731353759766,20.088092803955078
2315.5,False,31.694080352783203,33.90739440917969,False,34.995731353759766,20.088092803955078
2316.0,False,31.68946647644043,33.90177536010742,False,34.995731353759766,20.088092803955078
2316.5,False,31.684856414794922,33.896156311035156,False,34.995731353759766,20.088092803955078
2317.0,False,31.680246353149414,33.89054489135742,False,34.995731353759766,20.088092803955078
2317.5,False,31.675640106201172,33.88493347167969,False,34.995731353759766,20.088092803955078
2318.0,False,31.67103385925293,33.87932205200195,False,34.995731353759766,20.088092803955078
2318.5,False,31.66642951965332,33.87371826171875,False,34.995731353759766,20.088092803955078
2319.0,False,31.661828994750977,33.86811447143555,False,34.995731353759766,20.088092803955078
2319.5,False,31.657228469848633,33.862510681152344,False,34.995731353759766,20.088092803955078
2320.0,False,31.652629852294922,33.85691452026367,False,34.995731353759766,20.088092803955078
2320.5,False,31.648033142089844,33.851318359375,False,34.995731353759766,20.088092803955078
2321.0,False,31.64344024658203,33.84572219848633,False,34.995731353759766,20.088092803955078
2321.5,False,31.63884735107422,33.84013366699219,False,34.995731353759766,20.088092803955078
2322.0,False,31.63425636291504,33.83454513549805,False,34.995731353759766,20.088092803955078
2322.5,False,31.629667282104492,33.828956604003906,False,34.995731353759766,20.088092803955078
2323.0,False,31.625080108642578,33.8233757019043,False,34.995731353759766,20.088092803955078
2323.5,False,31.620494842529297,33.81779479980469,False,34.995731353759766,20.088092803955078
2324.0,False,31.615909576416016,33.81221389770508,False,34.995731353759766,20.088092803955078
2324.5,False,31.611328125,33.806636810302734,False,34.995731353759766,20.088092803955078
2325.0,False,31.606748580932617,33.801063537597656,False,34.995731353759766,20.088092803955078
2325.5,False,31.602170944213867,33.795494079589844,False,34.995731353759766,20.088092803955078
2326.0,False,31.59759521484375,33.78992462158203,False,34.995731353759766,20.088092803955078
2326.5,False,31.593019485473633,33.784358978271484,False,34.995731353759766,20.088092803955078
2327.0,False,31.58844757080078,33.7787971496582,False,34.995731353759766,20.088092803955078
2327.5,False,31.583877563476562,33.77323532104492,False,34.995731353759766,20.088092803955078
2328.0,False,31.579307556152344,33.767677307128906,False,34.995731353759766,20.088092803955078
2328.5,False,31.57474136352539,33.762123107910156,False,34.995731353759766,20.088092803955078
2329.0,False,31.570175170898438,33.756568908691406,False,34.995731353759766,20.088092803955078
2329.5,False,31.56561279296875,33.75101852416992,False,34.995731353759766,20.088092803955078
2330.0,False,31.561050415039062,33.74546813964844,False,34.995731353759766,20.088092803955078
2330.5,False,31.55649185180664,33.739925384521484,False,34.995731353759766,20.088092803955078
2331.0,False,31.55193328857422,33.73438262939453,False,34.995731353759766,20.088092803955078
2331.5,False,31.54737663269043,33.72883987426758,False,34.995731353759766,20.088092803955078
2332.0,False,31.542821884155273,33.72330093383789,False,34.995731353759766,20.088092803955078
2332.5,False,31.538270950317383,33.71776580810547,False,34.995731353759766,20.088092803955078
2333.0,False,31.533720016479492,33.71223449707031,False,34.995731353759766,20.088092803955078
2333.5,False,31.529170989990234,33.706703186035156,False,34.995731353759766,20.088092803955078
2334.0,False,31.52462387084961,33.701175689697266,False,34.995731353759766,20.088092803955078
2334.5,False,31.520078659057617,33.695648193359375,False,34.995731353759766,20.088092803955078
2335.0,False,31.515535354614258,33.69012451171875,False,34.995731353759766,20.088092803955078
2335.5,False,31.51099395751953,33.68460464477539,False,34.995731353759766,20.088092803955078
2336.0,False,31.506454467773438,33.67908477783203,False,34.995731353759766,20.088092803955078
2336.5,False,31.501916885375977,33.67356872558594,False,34.995731353759766,20.088092803955078
2337.0,False,31.49738121032715,33.66805648803711,False,34.995731353759766,20.088092803955078
2337.5,False,31.492847442626953,33.66254425048828,False,34.995731353759766,20.088092803955078
2338.0,False,31.48831558227539,33.65703582763672,False,34.995731353759766,20.088092803955078
2338.5,False,31.48378562927246,33.65153121948242,False,34.995731353759766,20.088092803955078
2339.0,False,31.47925567626953,33.646026611328125,False,34.995731353759766,20.088092803955078
2339.5,False,31.474729537963867,33.640525817871094,False,34.995731353759766,20.088092803955078
2340.0,False,31.470205307006836,33.63502883911133,False,34.995731353759766,20.088092803955078
2340.5,False,31.465681076049805,33.62953186035156,False,34.995731353759766,20.088092803955078
2341.0,False,31.46116065979004,33.62403869628906,False,34.995731353759766,20.088092803955078
2341.5,False,31.456642150878906,33.61854934692383,False,34.995731353759766,20.088092803955078
2342.0,False,31.452123641967773,33.613059997558594,False,34.995731353759766,20.088092803955078
2342.5,False,31.447608947753906,33.607574462890625,False,34.995731353759766,20.088092803955078
2343.0,False,31.44309425354004,33.602088928222656,False,34.995731353759766,20.088092803955078
2343.5,False,31.438581466674805,33.59660720825195,False,34.995731353759766,20.088092803955078
2344.0,False,31.434072494506836,33.591129302978516,False,34.995731353759766,20.088092803955078
2344.5,False,31.429563522338867,33.585655212402344,False,34.995731353759766,20.088092803955078
2345.0,False,31.42505645751953,33.58018112182617,False,34.995731353759766,20.088092803955078
2345.5,False,31.42055320739746,33.57470703125,False,34.995731353759766,20.088092803955078
2346.0,False,31.41604995727539,33.56924057006836,False,34.995731353759766,20.088092803955078
2346.5,False,31.411548614501953,33.56377410888672,False,34.995731353759766,20.088092803955078
2347.0,False,31.40704917907715,33.55830764770508,False,34.995731353759766,20.088092803955078
2347.5,False,31.402551651000977,33.55284881591797,False,34.995731353759766,20.088092803955078
2348.0,False,31.398056030273438,33.54738998413086,False,34.995731353759766,20.088092803955078
