sim_time,supervisor_event,controller_event,Plant.Temperature,Plant.Temperature_heater,Controller.heater_ctrl,Supervisor.temperature_desired,Supervisor.heating_time
3154.0,False,False,24.58620262145996,25.47795867919922,False,23.563213348388672,15.113085746765137
3154.5,False,True,24.58512306213379,25.47569465637207,False,23.563213348388672,15.113085746765137
3155.0,False,False,24.584041595458984,25.473434448242188,False,23.563213348388672,15.113085746765137
3155.5,False,False,24.582956314086914,25.471176147460938,False,23.563213348388672,15.113085746765137
3156.0,False,False,24.58186912536621,25.468921661376953,False,23.563213348388672,15.113085746765137
3156.5,False,False,24.580780029296875,25.4666690826416,False,23.563213348388672,15.113085746765137
3157.0,False,False,24.579687118530273,25.464420318603516,False,23.563213348388672,15.113085746765137
3157.5,False,True,24.57859230041504,25.462173461914062,False,23.563213348388672,15.113085746765137
3158.0,False,False,24.577495574951172,25.459930419921875,False,23.563213348388672,15.113085746765137
3158.5,False,False,24.576396942138672,25.457691192626953,False,23.563213348388672,15.113085746765137
3159.0,False,False,24.575294494628906,25.455453872680664,False,23.563213348388672,15.113085746765137
3159.5,False,False,24.574190139770508,25.453218460083008,False,23.563213348388672,15.113085746765137
3160.0,False,False,24.573083877563477,25.450986862182617,False,23.563213348388672,15.113085746765137
3160.5,False,True,24.571975708007812,25.44875717163086,False,23.563213348388672,15.113085746765137
3161.0,False,False,24.570863723754883,25.446531295776367,False,23.563213348388672,15.113085746765137
3161.5,False,False,24.569751739501953,25.44430923461914,False,23.563213348388672,15.113085746765137
3162.0,True,False,24.568635940551758,25.442089080810547,False,23.563213348388672,15.064743041992188
3162.5,False,False,24.56751823425293,25.439870834350586,False,23.563213348388672,15.064743041992188
3163.0,False,False,24.566396713256836,25.43765640258789,False,23.563213348388672,15.064743041992188
3163.5,False,True,24.565275192260742,25.435443878173828,False,23.563213348388672,15.064743041992188
3164.0,False,False,24.564149856567383,25.43323516845703,False,23.563213348388672,15.064743041992188
3164.5,False,False,24.563024520874023,25.431028366088867,False,23.563213348388672,15.064743041992188
3165.0,False,False,24.5618953704834,25.42882537841797,False,23.563213348388672,15.064743041992188
3165.5,False,False,24.56076431274414,25.426624298095703,False,23.563213348388672,15.064743041992188
3166.0,False,False,24.55963134765625,25.424427032470703,False,23.563213348388672,15.064743041992188
3166.5,False,True,24.558494567871094,25.422229766845703,False,23.563213348388672,15.064743041992188
3167.0,False,False,24.557357788085938,25.4200382232666,False,23.563213348388672,15.064743041992188
3167.5,False,False,24.55621910095215,25.417848587036133,False,23.563213348388672,15.064743041992188
3168.0,False,False,24.555076599121094,25.415660858154297,False,23.563213348388672,15.064743041992188
3168.5,False,False,24.55393409729004,25.413475036621094,False,23.563213348388672,15.064743041992188
3169.0,False,False,24.55278778076172,25.411293029785156,False,23.563213348388672,15.064743041992188
3169.5,False,True,24.5516414642334,25.40911293029785,False,23.563213348388672,15.064743041992188
3170.0,False,False,24.550491333007812,25.406936645507812,False,23.563213348388672,15.064743041992188
3170.5,False,False,24.549339294433594,25.404762268066406,False,23.563213348388672,15.064743041992188
3171.0,False,False,24.548185348510742,25.402589797973633,False,23.563213348388672,15.064743041992188
3171.5,False,False,24.54703140258789,25.400421142578125,False,23.563213348388672,15.064743041992188
3172.0,False,False,24.545873641967773,25.39825439453125,False,23.563213348388672,15.064743041992188
3172.5,False,True,24.544713973999023,25.39609146118164,False,23.563213348388672,15.064743041992188
3173.0,False,False,24.54355239868164,25.39392852783203,False,23.563213348388672,15.064743041992188
3173.5,False,False,24.542390823364258,25.39177131652832,False,23.563213348388672,15.064743041992188
3174.0,False,False,24.54122543334961,25.38961410522461,False,23.563213348388672,15.064743041992188
3174.5,False,False,24.540058135986328,25.387460708618164,False,23.563213348388672,15.064743041992188
3175.0,False,False,24.538890838623047,25.38530921936035,False,23.563213348388672,15.064743041992188
3175.5,False,True,24.5377197265625,25.383159637451172,False,23.563213348388672,15.064743041992188
3176.0,False,False,24.536548614501953,25.381013870239258,False,23.563213348388672,15.064743041992188
3176.5,False,False,24.53537368774414,25.378870010375977,False,23.563213348388672,15.064743041992188
3177.0,False,False,24.534198760986328,25.376728057861328,False,23.563213348388672,15.064743041992188
3177.5,False,False,24.53302001953125,25.374589920043945,False,23.563213348388672,15.064743041992188
3178.0,False,False,24.531841278076172,25.372453689575195,False,23.563213348388672,15.064743041992188
3178.5,False,True,24.53066062927246,25.370319366455078,False,23.563213348388672,15.064743041992188
3179.0,False,False,24.529478073120117,25.368186950683594,False,23.563213348388672,15.064743041992188
3179.5,False,False,24.52829360961914,25.366058349609375,False,23.563213348388672,15.064743041992188
3180.0,False,False,24.52710723876953,25.36393165588379,False,23.563213348388672,15.064743041992188
3180.5,False,False,24.525920867919922,25.361806869506836,False,23.563213348388672,15.064743041992188
3181.0,False,False,24.524730682373047,25.359683990478516,False,23.563213348388672,15.064743041992188
3181.5,False,True,24.523540496826172,25.35756492614746,False,23.563213348388672,15.064743041992188
3182.0,False,False,24.522348403930664,25.35544776916504,False,23.563213348388672,15.064743041992188
3182.5,False,False,24.521154403686523,25.35333251953125,False,23.563213348388672,15.064743041992188
3183.0,False,False,24.51995849609375,25.351219177246094,False,23.563213348388672,15.064743041992188
3183.5,False,False,24.518760681152344,25.349109649658203,False,23.563213348388672,15.064743041992188
3184.0,False,False,24.517562866210938,25.347000122070312,False,23.563213348388672,15.064743041992188
3184.5,False,True,24.516361236572266,25.344894409179688,False,23.563213348388672,15.064743041992188
3185.0,False,False,24.515159606933594,25.342792510986328,False,23.563213348388672,15.064743041992188
3185.5,False,False,24.51395606994629,25.34069061279297,False,23.563213348388672,15.064743041992188
3186.0,False,False,24.51275062561035,25.338590621948242,False,23.563213348388672,15.064743041992188
3186.5,False,False,24.511545181274414,25.33649444580078,False,23.563213348388672,15.064743041992188
3187.0,True,False,24.510337829589844,25.334400177001953,False,23.563213348388672,15.064743041992188
3187.5,False,True,24.50912857055664,25.332307815551758,False,23.563213348388672,15.064743041992188
3188.0,False,False,24.507917404174805,25.330219268798828,False,23.563213348388672,15.064743041992188
3188.5,False,False,24.506704330444336,25.3281307220459,False,23.563213348388672,15.064743041992188
3189.0,False,False,24.505491256713867,25.326045989990234,False,23.563213348388672,15.064743041992188
3189.5,False,False,24.504276275634766,25.323963165283203,False,23.563213348388672,15.064743041992188
3190.0,False,False,24.50305938720703,25.321882247924805,False,23.563213348388672,15.064743041992188
3190.5,False,True,24.501840591430664,25.31980323791504,False,23.563213348388672,15.064743041992188
3191.0,False,False,24.500621795654297,25.317726135253906,False,23.563213348388672,15.064743041992188
3191.5,False,False,24.499401092529297,25.315650939941406,False,23.563213348388672,15.064743041992188
3192.0,False,False,24.498178482055664,25.313579559326172,False,23.563213348388672,15.064743041992188
3192.5,False,False,24.49695587158203,25.311508178710938,False,23.563213348388672,15.064743041992188
3193.0,False,False,24.495731353759766,25.30944061279297,False,23.563213348388672,15.064743041992188
3193.5,False,True,24.494504928588867,25.307374954223633,False,23.563213348388672,15.064743041992188
3194.0,False,False,24.49327850341797,25.30531120300293,False,23.563213348388672,15.064743041992188
3194.5,False,False,24.492050170898438,25.30324935913086,False,23.563213348388672,15.064743041992188
3195.0,False,False,24.490819931030273,25.301191329956055,False,23.563213348388672,15.064743041992188
3195.5,False,False,24.489587783813477,25.29913330078125,False,23.563213348388672,15.064743041992188
3196.0,False,False,24.48835563659668,25.297077178955078,False,23.563213348388672,15.064743041992188
3196.5,False,True,24.487123489379883,25.295024871826172,False,23.563213348388672,15.064743041992188
3197.0,False,False,24.48588752746582,25.2929744720459,False,23.563213348388672,15.064743041992188
3197.5,False,False,24.484651565551758,25.290924072265625,False,23.563213348388672,15.064743041992188
3198.0,False,False,24.483413696289062,25.288877487182617,False,23.563213348388672,15.064743041992188
3198.5,False,False,24.482175827026367,25.286832809448242,False,23.563213348388672,15.064743041992188
3199.0,False,False,24.48093605041504,25.2847900390625,False,23.563213348388672,15.064743041992188
3199.5,False,True,24.47969627380371,25.28274917602539,False,23.563213348388672,15.064743041992188
3200.0,False,False,24.478452682495117,25.280710220336914,False,23.563213348388672,15.064743041992188
3200.5,False,False,24.477210998535156,25.27867317199707,False,23.563213348388672,15.064743041992188
3201.0,False,False,24.47596549987793,25.27663803100586,False,23.563213348388672,15.064743041992188
3201.5,False,False,24.474720001220703,25.274606704711914,False,23.563213348388672,15.064743041992188
3202.0,False,False,24.473474502563477,25.27257537841797,False,23.563213348388672,15.064743041992188
3202.5,False,True,24.472227096557617,25.270545959472656,False,23.563213348388672,15.064743041992188
3203.0,False,False,24.470977783203125,25.26852035522461,False,23.563213348388672,15.064743041992188
3203.5,False,False,24.469728469848633,25.266494750976562,False,23.563213348388672,15.064743041992188
3204.0,False,False,24.468477249145508,25.26447296142578,False,23.563213348388672,15.064743041992188
3204.5,False,False,24.46722412109375,25.262451171875,False,23.563213348388672,15.064743041992188
3205.0,False,False,24.465970993041992,25.260433197021484,False,23.563213348388672,15.064743041992188
3205.5,False,True,24.464717864990234,25.25841522216797,False,23.563213348388672,15.064743041992188
3206.0,False,False,24.463462829589844,25.25640106201172,False,23.563213348388672,15.064743041992188
3206.5,False,False,24.46220588684082,25.25438690185547,False,23.563213348388672,15.064743041992188
3207.0,False,False,24.460948944091797,25.252376556396484,False,23.563213348388672,15.064743041992188
3207.5,False,False,24.459692001342773,25.250368118286133,False,23.563213348388672,15.064743041992188
3208.0,False,False,24.458433151245117,25.24835968017578,False,23.563213348388672,15.064743041992188
3208.5,False,True,24.457172393798828,25.246355056762695,False,23.563213348388672,15.064743041992188
3209.0,False,False,24.45591163635254,25.24435043334961,False,23.563213348388672,15.064743041992188
3209.5,False,False,24.454648971557617,25.24234962463379,False,23.563213348388672,15.064743041992188
3210.0,False,False,24.453386306762695,25.24034881591797,False,23.563213348388672,15.064743041992188
3210.5,False,False,24.45212173461914,25.238351821899414,False,23.563213348388672,15.064743041992188
3211.0,False,False,24.450857162475586,25.23635482788086,False,23.563213348388672,15.064743041992188
3211.5,False,True,24.44959259033203,25.23436164855957,False,23.563213348388672,15.064743041992188
3212.0,False,False,24.44832420349121,25.23236846923828,False,23.563213348388672,15.064743041992188
3212.5,False,False,24.447057723999023,25.230379104614258,False,23.563213348388672,15.064743041992188
3213.0,False,False,24.445789337158203,25.228389739990234,False,23.563213348388672,15.064743041992188
3213.5,False,False,24.44451904296875,25.226402282714844,False,23.563213348388672,15.064743041992188
3214.0,False,False,24.443248748779297,25.22441864013672,False,23.563213348388672,15.064743041992188
3214.5,False,True,24.441978454589844,25.222434997558594,False,23.563213348388672,15.064743041992188
3215.0,False,False,24.440706253051758,25.2204532623291,False,23.563213348388672,15.064743041992188
3215.5,False,False,24.439434051513672,25.218473434448242,False,23.563213348388672,15.064743041992188
3216.0,False,False,24.438159942626953,25.216495513916016,False,23.563213348388672,15.064743041992188
3216.5,False,False,24.436885833740234,25.214519500732422,False,23.563213348388672,15.064743041992188
3217.0,False,False,24.435609817504883,25.21254539489746,False,23.563213348388672,15.064743041992188
3217.5,False,True,24.43433380126953,25.210573196411133,False,23.563213348388672,15.064743041992188
3218.0,False,False,24.43305778503418,25.208602905273438,False,23.563213348388672,15.064743041992188
3218.5,False,False,24.431779861450195,25.206632614135742,False,23.563213348388672,15.064743041992188
3219.0,False,False,24.43050193786621,25.204666137695312,False,23.563213348388672,15.064743041992188
