sim_time,supervisor_event,Plant.Temperature,Plant.Temperature_heater,Controller.heater_ctrl,Supervisor.temperature_desired,Supervisor.heating_time
0.0,True,21.0,21.0,True,25.0,20.0
0.5,False,21.0,21.0,True,25.0,20.0
1.0,False,21.0,21.0,True,25.0,20.0
1.5,False,21.0,21.028366088867188,True,25.0,20.0
2.0,False,21.00008773803711,21.05666160583496,True,25.0,20.0
2.5,False,21.00026512145996,21.084884643554688,True,25.0,20.0
3.0,False,21.000530242919922,21.113035202026367,True,25.0,20.0
3.5,False,21.00088119506836,21.141117095947266,True,25.0,20.0
4.0,False,21.001317977905273,21.169126510620117,True,25.0,20.0
4.5,False,21.001840591430664,21.197067260742188,True,25.0,20.0
5.0,False,21.00244903564453,21.224937438964844,True,25.0,20.0
5.5,False,21.003141403198242,21.25274085998535,True,25.0,20.0
6.0,False,21.003917694091797,21.280473709106445,True,25.0,20.0
6.5,False,21.004777908325195,21.308137893676758,True,25.0,20.0
7.0,False,21.005720138549805,21.33573341369629,True,25.0,20.0
7.5,False,21.006746292114258,21.363262176513672,True,25.0,20.0
8.0,False,21.00785255432129,21.390724182128906,True,25.0,20.0
8.5,False,21.00904083251953,21.41811752319336,True,25.0,20.0
9.0,False,21.01030921936035,21.445446014404297,True,25.0,20.0
9.5,False,21.01165771484375,21.472707748413086,True,25.0,20.0
10.0,False,21.013084411621094,21.49990463256836,True,25.0,20.0
10.5,False,21.01459312438965,21.527034759521484,True,25.0,20.0
11.0,False,21.016178131103516,21.554100036621094,True,25.0,20.0
11.5,False,21.017841339111328,21.581100463867188,True,25.0,20.0
12.0,False,21.019582748413086,21.6080379486084,True,25.0,20.0
12.5,False,21.021400451660156,21.634910583496094,True,25.0,20.0
13.0,False,21.02329444885254,21.661718368530273,True,25.0,20.0
13.5,False,21.0252628326416,21.688465118408203,True,25.0,20.0
14.0,False,21.02730941772461,21.715147018432617,True,25.0,20.0
14.5,False,21.029428482055664,21.74176788330078,True,25.0,20.0
15.0,False,21.0316219329834,21.768325805664062,True,25.0,20.0
15.5,False,21.033889770507812,21.794822692871094,True,25.0,20.0
16.0,False,21.036231994628906,21.821256637573242,True,25.0,20.0
16.5,False,21.038644790649414,21.84762954711914,True,25.0,20.0
17.0,False,21.0411319732666,21.873943328857422,True,25.0,20.0
