sim_time,supervisor_event,controller_event,Plant.Temperature,Plant.Temperature_heater,Controller.heater_ctrl,Supervisor.temperature_desired,Supervisor.heating_time
3898.0,False,True,36.56907272338867,41.7310791015625,False,36.37289810180664,20.073711395263672
3898.5,False,True,36.568416595458984,41.71797561645508,False,36.37289810180664,20.073711395263672
3899.0,False,True,36.56772232055664,41.70490264892578,False,36.37289810180664,20.073711395263672
3899.5,False,True,36.566993713378906,41.69186019897461,False,36.37289810180664,20.073711395263672
3900.0,False,True,36.56622314453125,41.67884826660156,False,36.37289810180664,20.073711395263672
3900.5,False,True,36.5654182434082,41.66586685180664,False,36.37289810180664,20.073711395263672
3901.0,False,True,36.5645751953125,41.65291976928711,False,36.37289810180664,20.073711395263672
3901.5,False,True,36.563697814941406,41.63999938964844,False,36.37289810180664,20.073711395263672
3902.0,False,True,36.56277847290039,41.627113342285156,False,36.37289810180664,20.073711395263672
3902.5,False,True,36.561824798583984,41.6142578125,False,36.37289810180664,20.073711395263672
3903.0,False,True,36.56083679199219,41.6014289855957,False,36.37289810180664,20.073711395263672
3903.5,False,True,36.559810638427734,41.58863067626953,False,36.37289810180664,20.073711395263672
3904.0,False,True,36.55875015258789,41.57586669921875,False,36.37289810180664,20.073711395263672
3904.5,False,True,36.557655334472656,41.56312942504883,False,36.37289810180664,20.073711395263672
3905.0,False,True,36.556522369384766,41.550418853759766,False,36.37289810180664,20.073711395263672
3905.5,False,True,36.55535888671875,41.537742614746094,False,36.37289810180664,20.073711395263672
3906.0,False,True,36.55415725708008,41.52509307861328,False,36.37289810180664,20.073711395263672
3906.5,False,True,36.552921295166016,41.512474060058594,False,36.37289810180664,20.073711395263672
3907.0,False,True,36.55165100097656,41.499881744384766,False,36.37289810180664,20.073711395263672
3907.5,False,True,36.55034637451172,41.48731994628906,False,36.37289810180664,20.073711395263672
3908.0,False,True,36.54901123046875,41.47478485107422,False,36.37289810180664,20.073711395263672
3908.5,False,True,36.547637939453125,41.4622802734375,False,36.37289810180664,20.073711395263672
3909.0,False,True,36.546234130859375,41.44980239868164,False,36.37289810180664,20.073711395263672
3909.5,False,True,36.544795989990234,41.437355041503906,False,36.37289810180664,20.073711395263672
3910.0,False,True,36.54332733154297,41.424930572509766,False,36.37289810180664,20.073711395263672
3910.5,False,True,36.54182434082031,41.412540435791016,False,36.37289810180664,20.073711395263672
3911.0,False,True,36.540287017822266,41.40017318725586,False,36.37289810180664,20.073711395263672
3911.5,False,True,36.53872299194336,41.38783645629883,False,36.37289810180664,20.073711395263672
3912.0,False,True,36.5371208190918,41.37552261352539,False,36.37289810180664,20.073711395263672
3912.5,False,True,36.535491943359375,41.36323928833008,False,36.37289810180664,20.073711395263672
3913.0,False,True,36.53382873535156,41.350982666015625,False,36.37289810180664,20.073711395263672
3913.5,False,True,36.532135009765625,41.33875274658203,False,36.37289810180664,20.073711395263672
3914.0,False,True,36.5304069519043,41.32655334472656,False,36.37289810180664,20.073711395263672
3914.5,False,True,36.52865219116211,41.31437683105469,False,36.37289810180664,20.073711395263672
3915.0,False,True,36.5268669128418,41.30222702026367,False,36.37289810180664,20.073711395263672
3915.5,False,True,36.525047302246094,41.29010009765625,False,36.37289810180664,20.073711395263672
3916.0,False,True,36.52320098876953,41.27800369262695,False,36.37289810180664,20.073711395263672
3916.5,False,True,36.521324157714844,41.265933990478516,False,36.37289810180664,20.073711395263672
3917.0,False,True,36.51941680908203,41.25388717651367,False,36.37289810180664,20.073711395263672
3917.5,False,True,36.517478942871094,41.24186706542969,False,36.37289810180664,20.073711395263672
3918.0,False,True,36.5155143737793,41.22987365722656,False,36.37289810180664,20.073711395263672
3918.5,False,True,36.51351547241211,41.2179069519043,False,36.37289810180664,20.073711395263672
3919.0,False,True,36.51149368286133,41.205963134765625,False,36.37289810180664,20.073711395263672
3919.5,False,True,36.509437561035156,41.19404220581055,False,36.37289810180664,20.073711395263672
3920.0,False,True,36.50735855102539,41.182151794433594,False,36.37289810180664,20.073711395263672
3920.5,False,True,36.505245208740234,41.17028045654297,False,36.37289810180664,20.073711395263672
3921.0,False,True,36.503108978271484,41.15843963623047,False,36.37289810180664,20.073711395263672
3921.5,False,True,36.50094223022461,41.14662170410156,False,36.37289810180664,20.073711395263672
3922.0,False,True,36.498748779296875,41.13482666015625,False,36.37289810180664,20.073711395263672
3922.5,False,True,36.496524810791016,41.12305450439453,False,36.37289810180664,20.073711395263672
3923.0,False,True,36.4942741394043,41.11130905151367,False,36.37289810180664,20.073711395263672
3923.5,False,True,36.49199676513672,41.099586486816406,False,36.37289810180664,20.073711395263672
3924.0,False,True,36.48969650268555,41.087890625,False,36.37289810180664,20.073711395263672
3924.5,False,True,36.48736572265625,41.07621765136719,False,36.37289810180664,20.073711395263672
3925.0,False,True,36.485008239746094,41.06456756591797,False,36.37289810180664,20.073711395263672
3925.5,False,True,36.48262405395508,41.052940368652344,False,36.37289810180664,20.073711395263672
3926.0,False,True,36.4802131652832,41.04133605957031,False,36.37289810180664,20.073711395263672
3926.5,False,True,36.47777557373047,41.02975845336914,False,36.37289810180664,20.073711395263672
3927.0,False,True,36.47531509399414,41.0181999206543,False,36.37289810180664,20.073711395263672
3927.5,False,True,36.47282409667969,41.00666809082031,False,36.37289810180664,20.073711395263672
3928.0,False,True,36.47031021118164,40.99515914916992,False,36.37289810180664,20.073711395263672
3928.5,False,True,36.4677734375,40.98366928100586,False,36.37289810180664,20.073711395263672
3929.0,False,True,36.4652099609375,40.972206115722656,False,36.37289810180664,20.073711395263672
3929.5,False,True,36.46261978149414,40.96076202392578,False,36.37289810180664,20.073711395263672
3930.0,False,True,36.46000671386719,40.949344635009766,False,36.37289810180664,20.073711395263672
3930.5,False,True,36.457366943359375,40.93794631958008,False,36.37289810180664,20.073711395263672
3931.0,False,True,36.45470428466797,40.926570892333984,False,36.37289810180664,20.073711395263672
3931.5,False,True,36.4520149230957,40.915218353271484,False,36.37289810180664,20.073711395263672
3932.0,False,True,36.449302673339844,40.90388488769531,False,36.37289810180664,20.073711395263672
3932.5,False,True,36.44656753540039,40.892578125,False,36.37289810180664,20.073711395263672
3933.0,False,True,36.443809509277344,40.881290435791016,False,36.37289810180664,20.073711395263672
3933.5,False,True,36.44102478027344,40.870025634765625,False,36.37289810180664,20.073711395263672
3934.0,False,True,36.43821716308594,40.85877990722656,False,36.37289810180664,20.073711395263672
3934.5,False,True,36.435386657714844,40.847557067871094,False,36.37289810180664,20.073711395263672
3935.0,False,True,36.432533264160156,40.83635711669922,False,36.37289810180664,20.073711395263672
3935.5,False,True,36.429656982421875,40.82517623901367,False,36.37289810180664,20.073711395263672
3936.0,False,True,36.4267578125,40.81401443481445,False,36.37289810180664,20.073711395263672
3936.5,False,True,36.42383575439453,40.802879333496094,False,36.37289810180664,20.073711395263672
3937.0,False,True,36.42089080810547,40.7917594909668,False,36.37289810180664,20.073711395263672
3937.5,False,True,36.41792297363281,40.780662536621094,False,36.37289810180664,20.073711395263672
3938.0,False,True,36.41493606567383,40.769588470458984,False,36.37289810180664,20.073711395263672
3938.5,False,True,36.411922454833984,40.7585334777832,False,36.37289810180664,20.073711395263672
3939.0,False,True,36.40888977050781,40.74749755859375,False,36.37289810180664,20.073711395263672
3939.5,False,True,36.40583801269531,40.736480712890625,False,36.37289810180664,20.073711395263672
3940.0,False,True,36.40275955200195,40.725486755371094,False,36.37289810180664,20.073711395263672
3940.5,False,True,36.399662017822266,40.71451187133789,False,36.37289810180664,20.073711395263672
3941.0,False,True,36.396541595458984,40.70355987548828,False,36.37289810180664,20.073711395263672
3941.5,False,True,36.393402099609375,40.692623138427734,False,36.37289810180664,20.073711395263672
3942.0,False,True,36.39024353027344,40.68170928955078,False,36.37289810180664,20.073711395263672
3942.5,False,True,36.38705825805664,40.670814514160156,False,36.37289810180664,20.073711395263672
3943.0,False,True,36.38385772705078,40.65993881225586,False,36.37289810180664,20.073711395263672
3943.5,False,True,36.38063430786133,40.64908218383789,False,36.37289810180664,20.073711395263672
3944.0,False,True,36.37739181518555,40.638248443603516,False,36.37289810180664,20.073711395263672
3944.5,False,True,36.37412643432617,40.6274299621582,False,36.37289810180664,20.073711395263672
3945.0,False,True,36.37084197998047,40.61663055419922,False,36.37289810180664,20.073711395263672
3945.5,True,True,36.36753845214844,40.60585021972656,False,36.37289810180664,20.073711395263672
3946.0,False,True,36.36421585083008,40.5950927734375,False,36.37289810180664,20.073711395263672
3946.5,False,True,36.36087417602539,40.5843505859375,False,36.37289810180664,20.073711395263672
3947.0,False,True,36.35750961303711,40.57362747192383,False,36.37289810180664,20.073711395263672
3947.5,False,True,36.354129791259766,40.562923431396484,False,36.37289810180664,20.073711395263672
3948.0,False,True,36.35072708129883,40.55223846435547,False,36.37289810180664,20.073711395263672
3948.5,False,True,36.34730529785156,40.54157257080078,False,36.37289810180664,20.073711395263672
3949.0,False,True,36.343868255615234,40.53092575073242,False,36.37289810180664,20.073711395263672
3949.5,False,True,36.34040832519531,40.520294189453125,False,36.37289810180664,20.073711395263672
3950.0,False,True,36.33693313598633,40.509681701660156,False,36.37289810180664,20.073711395263672
3950.5,False,True,36.33343505859375,40.499088287353516,False,36.37289810180664,20.073711395263672
3951.0,False,True,36.32992172241211,40.4885139465332,False,36.37289810180664,20.073711395263672
3951.5,False,True,36.32638931274414,40.47795486450195,False,36.37289810180664,20.073711395263672
3952.0,False,True,36.32284164428711,40.46741485595703,False,36.37289810180664,20.073711395263672
3952.5,False,True,36.319271087646484,40.45689392089844,False,36.37289810180664,20.073711395263672
3953.0,False,True,36.3156852722168,40.446388244628906,False,36.37289810180664,20.073711395263672
3953.5,False,True,36.31208038330078,40.4359016418457,False,36.37289810180664,20.073711395263672
3954.0,False,True,36.3084602355957,40.42543411254883,False,36.37289810180664,20.073711395263672
3954.5,False,True,36.3048210144043,40.414981842041016,False,36.37289810180664,20.073711395263672
3955.0,False,True,36.30116653442383,40.404544830322266,False,36.37289810180664,20.073711395263672
3955.5,False,True,36.29749298095703,40.394126892089844,False,36.37289810180664,20.073711395263672
3956.0,False,True,36.293800354003906,40.38372802734375,False,36.37289810180664,20.073711395263672
3956.5,False,True,36.29009246826172,40.37334442138672,False,36.37289810180664,20.073711395263672
3957.0,False,True,36.28636932373047,40.36297607421875,False,36.37289810180664,20.073711395263672
3957.5,False,True,36.28262710571289,40.35262680053711,False,36.37289810180664,20.073711395263672
3958.0,False,True,36.27886962890625,40.3422966003418,False,36.37289810180664,20.073711395263672
3958.5,False,True,36.27509307861328,40.33197784423828,False,36.37289810180664,20.073711395263672
3959.0,False,True,36.271305084228516,40.321678161621094,False,36.37289810180664,20.073711395263672
