sim_time,supervisor_event,Plant.Temperature,Plant.Temperature_heater,Controller.heater_ctrl,Supervisor.temperature_desired,Supervisor.heating_time
2047.5,False,34.25028991699219,37.14297866821289,False,36.11859130859375,19.438154220581055
2048.0,False,34.24504470825195,37.13563537597656,False,36.11859130859375,19.438154220581055
2048.5,False,34.23979568481445,37.1282958984375,False,36.11859130859375,19.438154220581055
2049.0,False,34.23455047607422,37.1209602355957,False,36.11859130859375,19.438154220581055
2049.5,False,34.22930145263672,37.11363220214844,False,36.11859130859375,19.438154220581055
2050.0,False,34.22405242919922,37.1063117980957,False,36.11859130859375,19.438154220581055
2050.5,False,34.21879959106445,37.098995208740234,False,36.11859130859375,19.438154220581055
2051.0,False,34.21355056762695,37.09168243408203,False,36.11859130859375,19.438154220581055
2051.5,False,34.20829772949219,37.084373474121094,False,36.11859130859375,19.438154220581055
2052.0,False,34.20304489135742,37.07707214355469,False,36.11859130859375,19.438154220581055
2052.5,False,34.197792053222656,37.06977844238281,False,36.11859130859375,19.438154220581055
2053.0,False,34.19253921508789,37.06248474121094,False,36.11859130859375,19.438154220581055
2053.5,False,34.187286376953125,37.055198669433594,False,36.11859130859375,19.438154220581055
2054.0,False,34.182029724121094,37.047916412353516,False,36.11859130859375,19.438154220581055
2054.5,False,34.17677307128906,37.04064178466797,False,36.11859130859375,19.438154220581055
2055.0,False,34.17151641845703,37.03337097167969,False,36.11859130859375,19.438154220581055
2055.5,False,34.166259765625,37.02610778808594,False,36.11859130859375,19.438154220581055
2056.0,False,34.16100311279297,37.01884460449219,False,36.11859130859375,19.438154220581055
2056.5,False,34.15574264526367,37.01158905029297,False,36.11859130859375,19.438154220581055
2057.0,False,34.15048599243164,37.00434112548828,False,36.11859130859375,19.438154220581055
2057.5,False,34.145225524902344,36.997093200683594,False,36.11859130859375,19.438154220581055
2058.0,False,34.13996505737305,36.98985290527344,False,36.11859130859375,19.438154220581055
2058.5,False,34.13470458984375,36.98262023925781,False,36.11859130859375,19.438154220581055
2059.0,False,34.12944412231445,36.97538757324219,False,36.11859130859375,19.438154220581055
2059.5,False,34.124183654785156,36.968162536621094,False,36.11859130859375,19.438154220581055
2060.0,False,34.118919372558594,36.96094512939453,False,36.11859130859375,19.438154220581055
2060.5,False,34.1136589050293,36.95372772216797,False,36.11859130859375,19.438154220581055
